162.55  24.75  74.30 152.75  42.30  35.95  60.32  42.47
 73.32  10.98  24.50 214.90  56.25  92.98  80.78  21.00
 87.58 104.25  15.20  12.25  15.70  51.00   4.50  19.75
  6.25  37.62  73.18  27.75  27.70  65.25  43.75  57.62
 57.80   7.50  32.20  32.95  22.50 110.22  10.00 113.62
 84.22  54.80  42.50   8.50  40.75  16.50  28.40 105.75
 20.00  18.50  37.45  15.12 112.35 100.35 150.12   3.75
 73.95  45.75  15.00  77.75  12.00  40.85   8.00  61.32
 16.68  19.30 123.50  25.08  40.75  59.00  31.75  12.50
 63.38  19.80 162.00   3.47   7.50  34.00   2.25  50.50
 68.00  54.82  33.20   2.25  25.22  12.50  68.62  89.00
 10.55   5.00  52.25   5.00  27.68  22.42  10.38  21.75
  8.75  43.10 150.85   8.25  68.70  80.00 138.70  37.80
 12.90  31.00   2.38  29.50  46.50  93.35   5.00  85.18
 22.75  28.98   1.75  70.00  33.00   5.00  11.25   9.93
  9.15  15.62   9.75  49.00  42.20   5.00   7.00  62.90
  7.15  14.25  25.62  10.12  22.50  10.50   8.75   4.75
  6.90
