1740 3540 2760 3240 3960  960 4200 4140 2880 4830
3600 2580 3450 3540 2850 2490 3360 3840 3810 3720
3690 4020 2820 2010 3720 4650 3150 3000 3360 4230
3120 3960 2940 4380 3960 2790 2550 2820 3480 3390
3630 2040 3210 3660 3780 2640 2670 3240 3450 2550
3330 3630 3720 3120 3750 3060 3660 4110 3300 3030
2730 3660 4140 2970 3450 3120 2940 2670 3570 3270
3120 3450 4140 3150 4320 2610 2640 3090 3240 3270
3840 3180 3750 3240 2940 3990 3120 3660 3720 3300
3990 3450 3810 4050 2670 3630 3360 4050 3450 1920
