139.7 114.3 101.6 152.4 215.9 228.6 215.9 190.5 177.8 139.7 139.7 152.4
165.1 177.8 177.8 203.2 241.3 279.4 292.1 317.5 203.2 177.8 165.1 177.8
177.8 203.2 228.6 279.4 317.5 330.2 368.3 355.6 241.3 215.9 215.9 203.2
228.6 254.0 266.7 342.9 355.6 406.4 444.5 431.8 330.2 330.2 304.8 292.1
226.7 317.5 368.3 431.8 457.2 571.5 546.1 482.6 431.8 406.4 393.7 406.4
431.8 457.2 457.2 482.6 533.4 622.3 660.4 520.7 508.0 482.6 457.2 431.8
381.0 406.4 431.8 457.2 495.3 584.2 609.6 558.8 508.0 495.3 444.5 419.1
431.8 444.5 495.3 533.4 558.8 647.7 673.1 660.4 609.6 584.2 520.7 482.6
495.3 533.4 635.0 673.1 749.3 812.8 800.1 736.6 685.8 635.0 622.3 622.3
 
